YearPublished,MinPlayers,MaxPlayers,ComAgeRec,Kickstarted,AvgGameweight,ComAvgPlaytime,ComAvgPlaytime_log,PopularityScore,CategoryLabel,Rating
2016,2,8,9.333333333333334,0,2.5127499999999996,60.0,4.110873864173311,0.5183030983548813,0,Medium
2010,2,4,12.0,0,2.63105,30.0,3.4339872044851463,0.4056861918175583,3,Medium
2004,2,2,14.0,0,3.5765000000000002,240.0,5.484796933490655,0.43024557706178823,3,High
2014,3,8,13.0,0,1.0716999999999999,10.0,2.3978952727983707,0.2556830412792107,0,Low
1998,2,2,16.0,0,4.13225,480.0,6.175867270105761,0.34453916928199524,3,High
2020,2,6,12.0,0,3.94085,180.0,5.198497031265826,0.3098716843657181,3,High
2016,1,2,14.0,0,2.93825,150.0,5.017279836814924,0.5234399209204156,3,High
2006,2,4,12.0,0,3.42715,600.0,6.398594934535208,0.29174905258096406,3,High
2011,2,4,5.333333333333333,0,1.1381000000000001,10.0,2.3978952727983707,0.3235356537712772,8,Low
1988,2,8,11.142857142857142,0,1.75695,120.0,4.795790545596741,0.4783869870500401,3,Medium
1998,3,6,7.75,0,1.2649,30.0,3.4339872044851463,0.5670717175315579,4,Medium
2021,2,4,12.0,1,3.05145,90.0,4.51085950651685,0.2878284279366317,0,High
2017,2,2,10.0,0,2.07355,45.0,3.828641396489095,0.2272708995684861,0,High
2002,2,6,10.0,0,1.12415,37.5,3.6506582412937387,0.16977040190431877,0,Low
1980,2,2,14.666666666666666,0,3.4718,360.0,5.8888779583328805,0.37390764143674515,3,Medium
2013,3,5,12.0,0,2.56435,45.0,3.828641396489095,0.28690426316523315,0,Medium
2012,2,5,8.666666666666666,0,2.6605499999999997,60.0,4.110873864173311,0.588520791080453,1,Medium
2012,2,4,8.0,0,1.30575,30.0,3.4339872044851463,0.24781182106465005,0,Medium
2018,2,4,8.0,1,1.78475,37.5,3.6506582412937387,0.4150927899568673,0,High
2019,3,5,8.0,0,1.7862,40.0,3.713572066704308,0.3272648875414634,0,Medium
2007,2,4,8.0,0,1.7512,45.0,3.828641396489095,0.23410441937768633,0,Low
2015,2,2,11.0,0,2.2394499999999997,45.0,3.828641396489095,0.5385801544793212,5,High
2018,2,4,9.0,0,2.1117,37.5,3.6506582412937387,0.2707213948842131,0,High
2004,2,10,6.5,0,1.16415,10.0,2.3978952727983707,0.4560486383654091,4,Low
2016,2,2,10.0,0,2.07085,60.0,4.110873864173311,0.18328689504472306,3,High
2002,2,2,6.666666666666667,0,3.2239,30.0,3.4339872044851463,0.25422799494484494,6,Medium
2015,2,2,14.857142857142858,0,3.9366000000000003,255.0,5.545177444479562,0.5235102966921675,3,High
2019,1,100,10.0,0,2.2961,37.5,3.6506582412937387,0.25967146454118883,0,Medium
2012,2,4,12.25,0,3.5704000000000002,90.0,4.51085950651685,0.6892213482433447,2,High
2011,3,5,11.333333333333334,0,2.4819500000000003,120.0,4.795790545596741,0.39779063886966876,1,Medium
2015,2,5,8.0,1,1.80775,30.0,3.4339872044851463,0.4574970384033416,0,Medium
2003,2,12,12.0,0,1.45575,60.0,4.110873864173311,0.17294146415875308,0,Low
2021,2,2,10.0,0,2.0904499999999997,37.5,3.6506582412937387,0.12201031026689195,0,Low
2012,2,2,16.0,0,2.8153,37.5,3.6506582412937387,0.23752281674808048,3,High
2021,2,5,8.0,1,1.69605,40.0,3.713572066704308,0.3693430311449698,0,Medium
2017,2,4,10.0,0,1.59595,32.5,3.5115454388310208,0.19973426590652954,0,Low
2013,2,2,6.0,0,1.46455,15.0,2.772588722239781,0.2465416207380897,0,Low
2020,2,2,15.5,0,3.41755,37.5,3.6506582412937387,0.28212273123885806,3,High
2019,2,4,14.0,0,2.85485,52.5,3.979681653901961,0.39298175142102376,0,High
2020,1,2,12.0,0,1.9177,75.0,4.330733340286331,0.2907694860726,3,High
0,2,4,12.0,0,1.82335,20.0,3.044522437723423,0.229942743589546,0,Medium
2017,1,5,12.0,0,1.91275,37.5,3.6506582412937387,0.3566364889233045,0,Medium
2021,1,4,10.0,0,2.07355,45.0,3.828641396489095,0.22123795272789465,0,High
1982,2,4,8.0,0,1.18925,10.0,2.3978952727983707,0.3020548557706259,6,Low
2006,3,5,7.333333333333333,0,1.53935,30.0,3.4339872044851463,0.5074734925661217,4,Medium
2015,2,10,6.0,0,1.1170499999999999,30.0,3.4339872044851463,0.3007448717685658,4,Medium
2003,2,6,12.0,0,3.9589499999999997,90.0,4.51085950651685,0.3354668568099974,3,High
2017,1,4,10.666666666666666,0,3.04405,40.0,3.713572066704308,0.42001640028735227,0,Medium
2006,2,4,9.851851851851851,0,2.32425,45.0,3.828641396489095,0.7353456314943245,2,High
2018,2,4,10.0,0,2.6342499999999998,60.0,4.110873864173311,0.22377637434573205,0,Medium
2012,2,5,8.0,0,1.37965,15.0,2.772588722239781,0.4068269059031977,4,Low
1990,2,3,16.0,0,3.7823,360.0,5.8888779583328805,0.31800209228436827,3,Low
1988,2,2,9.6,0,2.10385,90.0,4.51085950651685,0.46338157605912034,3,Medium
2017,1,4,11.5,0,3.1564500000000004,67.5,4.22683374526818,0.6820482504009262,2,High
2015,2,6,5.0,0,1.05775,20.0,3.044522437723423,0.2944093296803984,0,Medium
1998,2,2,10.0,0,3.0039,180.0,5.198497031265826,0.43440490107847707,3,Medium
2018,2,4,7.643835616438356,0,1.16665,20.0,3.044522437723423,0.7889811864236354,4,Medium
1991,2,2,12.0,0,1.97915,60.0,4.110873864173311,0.2793611334551197,3,Low
2015,1,4,10.129032258064516,1,2.4263,67.5,4.22683374526818,0.7427633165923507,1,High
2015,3,6,12.0,0,2.05255,45.0,3.828641396489095,0.18588702538522373,0,Low
1992,2,8,10.0,0,2.2824,120.0,4.795790545596741,0.3185490481824804,0,High
2010,6,15,8.0,0,1.08965,20.0,3.044522437723423,0.3007590230010382,0,Medium
2020,2,2,12.0,0,2.3212,25.0,3.258096538021482,0.25143669612491865,0,High
1993,2,6,12.0,0,1.9610500000000002,120.0,4.795790545596741,0.33280828332151013,0,Low
2020,2,5,11.333333333333334,0,2.4835000000000003,45.0,3.828641396489095,0.4298413372534222,0,Medium
2008,2,4,9.0,0,2.4128999999999996,60.0,4.110873864173311,0.25546790892329024,0,Low
2020,2,4,12.0,1,2.72175,30.0,3.4339872044851463,0.19969745239399161,0,High
1979,2,2,16.0,0,3.2948500000000003,120.0,4.795790545596741,0.26944992971548554,3,Medium
1935,1,4,7.0,0,1.1475,37.5,3.6506582412937387,0.18537535915807118,8,Low
1999,2,4,10.0,0,2.00725,30.0,3.4339872044851463,0.3460379456112552,6,Low
2004,2,4,10.0,0,1.52945,45.0,3.828641396489095,0.20460974355504463,0,Low
2013,2,6,7.8,0,1.1712500000000001,30.0,3.4339872044851463,0.4096218760384501,7,Low
2013,2,5,12.0,0,2.1398,90.0,4.51085950651685,0.33119908626238115,0,Medium
1980,2,2,16.0,0,2.6361,60.0,4.110873864173311,0.20097624106112902,3,Low
